web-scraper-order,web-scraper-start-url,pages,pages-href,title,Description ,Application Status 
1664864508-213,https://www.rmit.edu.au/students/careers-opportunities/scholarships/coursework,Davies Dunn Scholarship,https://www.rmit.edu.au/students/careers-opportunities/scholarships/coursework/davies-dunn,Davies Dunn Scholarship,"For Aboriginal and/or Torres Strait Islander postgraduate by coursework students; worth up to $5,000 per year.",Applications are now open
1664864510-214,https://www.rmit.edu.au/students/careers-opportunities/scholarships/coursework,David Phillips Memorial Scholarship,https://www.rmit.edu.au/students/careers-opportunities/scholarships/coursework/david-phillips,David Phillips Memorial Scholarship,For students enrolled full-time in the ELICOS Academic English Program who can demonstrate disadvantage; worth $5000.,Applications now closed
1664864512-215,https://www.rmit.edu.au/students/careers-opportunities/scholarships/coursework,David Hay Supply Chain and Logistics Scholarship,https://www.rmit.edu.au/students/careers-opportunities/scholarships/coursework/hay,David Hay Supply Chain and Logistics Scholarship,"For students enrolled in Supply Chain and Logistics programs; worth up to $10,000.",Applications are now open
1664864515-216,https://www.rmit.edu.au/students/careers-opportunities/scholarships/coursework,DHCRC Emerging Digital Health Champions Scholarship,https://www.rmit.edu.au/students/careers-opportunities/scholarships/coursework/dhcrc,DHCRC Emerging Digital Health Champions Scholarship,"For Graduate Certificate in Digital Health students who are employed in a health care setting, and have successfully completed the required digital health credentials; worth up to $10,800.",Applications now closed
1664864517-217,https://www.rmit.edu.au/students/careers-opportunities/scholarships/coursework,DELWP Diversity and Inclusion Scholarship,https://www.rmit.edu.au/students/careers-opportunities/scholarships/coursework/delwp,DELWP Diversity and Inclusion Scholarship,"For students who identify as a woman and/or Aboriginal and Torres Strait Islander students enrolled in surveying or geospatial sciences; worth up to $10,000.",Applications are now open
1664864519-218,https://www.rmit.edu.au/students/careers-opportunities/scholarships/coursework,Cultural Visions Grant,https://www.rmit.edu.au/students/careers-opportunities/scholarships/coursework/cultural-visions,Cultural Visions Grant,"Supporting two RMIT students who wish to realise an artistic project that explores the exchange of culture in Australia; worth $3,000.",Applications are now closed
1664864521-219,https://www.rmit.edu.au/students/careers-opportunities/scholarships/coursework,CitiPower and Powercor Women in Engineering Scholarship,https://www.rmit.edu.au/students/careers-opportunities/scholarships/coursework/citipower-powercor,CitiPower and Powercor Women in Engineering Scholarship,"For female Electrical Engineering students with a GPA of 2.5 or higher; worth $10,000 per year for three years.",Applications now closed
1664864523-220,https://www.rmit.edu.au/students/careers-opportunities/scholarships/coursework,Charter Hall Property and Valuation Scholarship,https://www.rmit.edu.au/students/careers-opportunities/scholarships/coursework/charter,Charter Hall Property and Valuation Scholarship,"For final year property and valuation students with a GPA of 2.5 or higher; worth $10,000 for one year",Applications now closed
1664864525-221,https://www.rmit.edu.au/students/careers-opportunities/scholarships/coursework,Charles Blackall Journalists' Scholarship,https://www.rmit.edu.au/students/careers-opportunities/scholarships/coursework/charles-blackall,Charles Blackall Journalists' Scholarship,For journalism students who need assistance with accommodation expenses who demonstrate financial disadvantage; worth up to $6000,Applications now closed
1664864528-222,https://www.rmit.edu.au/students/careers-opportunities/scholarships/coursework,Cedar Pacific Indigenous Accommodation Scholarship,https://www.rmit.edu.au/students/careers-opportunities/scholarships/coursework/indigenous-student-accommodation,Cedar Pacific Indigenous Accommodation Scholarship,For Aboriginal and Torres Strait Islander students who need to relocate to study at RMIT in Melbourne; provides a rental subsidy for accommodation at UniLodge Royal Melbourne.,Applications are now open
1664864530-223,https://www.rmit.edu.au/students/careers-opportunities/scholarships/coursework,Cedar Pacific Elizabeth Accommodation Scholarship,https://www.rmit.edu.au/students/careers-opportunities/scholarships/coursework/elizabeth-accom,Cedar Pacific Elizabeth Accommodation Scholarship,"For students who need to relocate to study at RMIT in Melbourne; provides a rental subsidy worth up to $18,091 for accommodation at UniLodge Melbourne City.",Applications are now open
1664864532-224,https://www.rmit.edu.au/students/careers-opportunities/scholarships/coursework,Carey Lyon Scholarship,https://www.rmit.edu.au/students/careers-opportunities/scholarships/coursework/carey-lyon,Carey Lyon Scholarship,"For full-time Architecture students who can demonstrate circumstance/s which impact their ability to study; worth $7,500.",Applications are now open
1664864535-225,https://www.rmit.edu.au/students/careers-opportunities/scholarships/coursework,Calleo Indigenous Scholarship,https://www.rmit.edu.au/students/careers-opportunities/scholarships/coursework/calleo,Calleo Indigenous Scholarship,"For Indigenous students enrolling full-time in their second year of an undergraduate degree who can demonstrate financial disadvantage and other circumstance/s which impact their ability to study; worth up to $10,000",Applications are now open
1664864537-226,https://www.rmit.edu.au/students/careers-opportunities/scholarships/coursework,Building & Construction Foundation Scholarship,https://www.rmit.edu.au/students/careers-opportunities/scholarships/coursework/building-construction,Building & Construction Foundation Scholarship,"For project and construction management students passionate about a career in the industry; worth $10,000.",Applications now closed
1664864539-227,https://www.rmit.edu.au/students/careers-opportunities/scholarships/coursework,Brimbank City Council Scholarship,https://www.rmit.edu.au/students/careers-opportunities/scholarships/coursework/brimbank,Brimbank City Council Scholarship,"For Urban Planning students who can demonstrate circumstance/s which impact their ability to study; worth up to $4,500.",Applications are now open
1664864541-228,https://www.rmit.edu.au/students/careers-opportunities/scholarships/coursework,Boeing Scholarship,https://www.rmit.edu.au/students/careers-opportunities/scholarships/coursework/boeing,Boeing Scholarship,"For students enrolled in programs of significance to Boeing; worth $5,000.",Applications are now open
1664864543-229,https://www.rmit.edu.au/students/careers-opportunities/scholarships/coursework,Bennelong Foundation Scholarship,https://www.rmit.edu.au/students/careers-opportunities/scholarships/coursework/bennelong,Bennelong Foundation Scholarship,"For accountancy, economics and finance or financial planning undergraduate students; worth $10,000 per annum plus paid work.",Applications now closed
1664864545-230,https://www.rmit.edu.au/students/careers-opportunities/scholarships/coursework,Beazley Scholarship,https://www.rmit.edu.au/students/careers-opportunities/scholarships/coursework/beazley,Beazley Scholarship,For an RMIT apprentice; worth up to $2000.,null
1664864548-231,https://www.rmit.edu.au/students/careers-opportunities/scholarships/coursework,Bachelor of Applied Science (Property and Valuation) Scholarship,https://www.rmit.edu.au/students/careers-opportunities/scholarships/coursework/property-valuation-achievement,Bachelor of Applied Science (Property and Valuation) Scholarship,"For students identifying as women commencing a Bachelor of Applied Science (Property and Valuation) (Honours) degree at RMIT with high ATAR results; worth $5,000.",No scholarship application required
1664864550-232,https://www.rmit.edu.au/students/careers-opportunities/scholarships/coursework,Bachelor of Applied Science (Project Management) Scholarship,https://www.rmit.edu.au/students/careers-opportunities/scholarships/coursework/project-management-achievement,Bachelor of Applied Science (Project Management) Scholarship,"For students identifying as women commencing a Bachelor of Applied Science (Project Management) (Honours) degree at RMIT with high ATAR results; worth $5,000.",No scholarship application required
1664864552-233,https://www.rmit.edu.au/students/careers-opportunities/scholarships/coursework,Bachelor of Applied Science (Construction Management) Scholarship,https://www.rmit.edu.au/students/careers-opportunities/scholarships/coursework/construction-management-achievement,Bachelor of Applied Science (Construction Management) Scholarship,For students identifying as women commencing a Bachelor of Applied Science (Construction Management) (Honours) degree at RMIT with high ATAR results; worth $5000.,No scholarship application required
1664864554-234,https://www.rmit.edu.au/students/careers-opportunities/scholarships/coursework,BMD Group Scholarship,https://www.rmit.edu.au/students/careers-opportunities/scholarships/coursework/bmd,BMD Group Scholarship,"For third year Civil and Infrastructure Engineering students; worth $5,000 per year for two years and an eight week paid work experience placement.",Applications now closed
1664864556-235,https://www.rmit.edu.au/students/careers-opportunities/scholarships/coursework,BGIS Women in Engineering Scholarship,https://www.rmit.edu.au/students/careers-opportunities/scholarships/coursework/bgis,BGIS Women in Engineering Scholarship,"For engineering bachelor students who identify as women; worth $5,000 per annum plus paid work.",Applications are now closed
1664864558-236,https://www.rmit.edu.au/students/careers-opportunities/scholarships/coursework,Australian Dairy Blends Scholarship,https://www.rmit.edu.au/students/careers-opportunities/scholarships/coursework/dairy-blends,Australian Dairy Blends Scholarship,"For students enrolling full-time in a food technology/management program; worth $5,000 per year.",No scholarship application required
1664864564-237,https://www.rmit.edu.au/students/careers-opportunities/scholarships/coursework,Ashton Commercial Nucara Family Scholarship,https://www.rmit.edu.au/students/careers-opportunities/scholarships/coursework/beller,Ashton Commercial Nucara Family Scholarship,For Property and Valuation students who have relocated from a rural/regional area to study at RMIT; worth up to $2000.,Applications are now closed
1664864566-238,https://www.rmit.edu.au/students/careers-opportunities/scholarships/coursework,Arcadia Landscape Architecture Scholarship in Landscape Architecture Design,https://www.rmit.edu.au/students/careers-opportunities/scholarships/coursework/arcadia,Arcadia Landscape Architecture Scholarship in Landscape Architecture Design,"For Aboriginal and/or Torres Strait Islander student commencing a Bachelor of Landscape Architecture Design; worth up to $5,000.",No scholarship application required
1664864568-239,https://www.rmit.edu.au/students/careers-opportunities/scholarships/coursework,Alan and Mary Longstaff Women in Engineering Scholarship,https://www.rmit.edu.au/students/careers-opportunities/scholarships/coursework/longstaff,Alan and Mary Longstaff Women in Engineering Scholarship,"For students who identify as a woman in the first or second year of a Bachelor of Engineering who are Indigenous, relocating to study, or can demonstrate financial disadvantage; worth up to $5,000.",Applications are now open
1664864570-240,https://www.rmit.edu.au/students/careers-opportunities/scholarships/coursework,Air Pilots Scholarship,https://www.rmit.edu.au/students/careers-opportunities/scholarships/coursework/air-pilots,Air Pilots Scholarship,"For Bachelor of Applied Science (Aviation) students; worth $3,000.",Applications are now closed
1664864572-241,https://www.rmit.edu.au/students/careers-opportunities/scholarships/coursework,Aboriginal Social and Emotional Wellbeing Scholarship,https://www.rmit.edu.au/students/careers-opportunities/scholarships/coursework/sewb,Aboriginal Social and Emotional Wellbeing Scholarship,"For Aboriginal and/or Torres Strait Islander students working, or intending to work in the social and emotional well-being workforce, enrolled in related programs; worth up to $135,000 for tuition fees, SSAF and financial support.",Applications now closed
1664864574-242,https://www.rmit.edu.au/students/careers-opportunities/scholarships/coursework,AVEPA Scholarships for Australian Students of Vietnamese Origin,https://www.rmit.edu.au/students/careers-opportunities/scholarships/coursework/avepa,AVEPA Scholarships for Australian Students of Vietnamese Origin,For Australian students with a Vietnamese background commencing an undergraduate program who can demonstrate academic achievement and leadership potential.,Applications are now closed
