web-scraper-order,web-scraper-start-url,pages,links,links-href,title,description ,application open date,application closed date
1665477634-540,https://scholarships.unimelb.edu.au/?query=!padrenullx&sort=dmetadetailNumberAwarded&start_rank=1,,Federal Court of Australia - Trinity Hall Scholarship,https://scholarships.unimelb.edu.au/awards/federal-court-of-australia-trinity-hall-scholarship,Federal Court of Australia - Trinity Hall Scholarship,"Jointly awarded by Melbourne Law School and Trinity Hall (University of Cambridge), this scholarship aims to support a student who has been accepted into the Master of Laws (LLM) at Cambridge with Trinity Hall as their first preference for on-campus college residence.",No application is required. You will be automatically considered for this award.,"Single payment

        Full benefit details"
1665477636-541,https://scholarships.unimelb.edu.au/?query=!padrenullx&sort=dmetadetailNumberAwarded&start_rank=1,,Honours Accounting Students' Society Alumni Scholarship,https://scholarships.unimelb.edu.au/awards/honours-accounting-students-society-alumni-scholarship,Honours Accounting Students' Society Alumni Scholarship,"Established by the Department of Accounting and the Honours Accounting Students' Society (HASS), this scholarship is awarded annually to a female student undertaking Honours in Accounting within the Faculty of Business and Economics.",Applications are currently closed,"Application required
            
How to apply"
1665477640-542,https://scholarships.unimelb.edu.au/?query=!padrenullx&sort=dmetadetailNumberAwarded&start_rank=1,,St Hilda's College Rural Opportunity Scholarship for Women,https://scholarships.unimelb.edu.au/awards/st-hildas-college-rural-opportunity-scholarship-for-women,St Hilda's College Rural Opportunity Scholarship for Women,"This scholarship is offered to female rural students of The University of Melbourne, with a preference for students studying science, who could not otherwise afford residence at St Hilda's College.
The scholarship will be awarded on the basis of satisfactory performance at the college selection interview and demonstrated financial need.
Applicants are required to have nominated St Hilda's College as their college of first preference at the time of application.
A written application is required.",1-Aug-20,25-Nov-20
1665477643-543,https://scholarships.unimelb.edu.au/?query=!padrenullx&sort=dmetadetailNumberAwarded&start_rank=1,,Margaret Garson  Medicine Scholarship at University College,https://scholarships.unimelb.edu.au/awards/margaret-garson-medicine-scholarship-at-university-college,Margaret Garson  Medicine Scholarship at University College,This scholarship is awarded on academic merit to first-year Biomedicine or Science students from regional Victoria residing at University College.,19-Aug-19,31-Jan-20
1665477646-544,https://scholarships.unimelb.edu.au/?query=!padrenullx&sort=dmetadetailNumberAwarded&start_rank=1,,The Order of Australia Association Foundation Scholarship,https://scholarships.unimelb.edu.au/awards/order-of-australia-association-foundation-scholarship,The Order of Australia Association Foundation Scholarship,"The Order of Australia Association Foundation is supporting the next generation of leaders by helping promising young Australians to achieve their potential. Each year the Foundation sponsors Scholarships to young Australian students in their early years of tertiary study. One of these Scholarships is being sponsored at the University of Melbourne for a University of Melbourne Bachelor of Commerce Australian graduate who is admitted to commence a 1.5 - 2 year graduate program within the Faculty of Business and Economics in Semester 1, 2019.",Applications are currently closed,"Application required
            
How to apply"
1665477649-545,https://scholarships.unimelb.edu.au/?query=!padrenullx&sort=dmetadetailNumberAwarded&start_rank=1,,St Hilda's College Isabel & John Gilbertson Scholarship,https://scholarships.unimelb.edu.au/awards/st-hildas-college-isabel-and-john-gilbertson-scholarship,St Hilda's College Isabel & John Gilbertson Scholarship,"This scholarship is offered to regional or rural students of The University of Melbourne who could not otherwise afford residence at St Hilda's College.  The scholarship will be awarded on the basis of satisfactory performance at college selection interview and demonstrated financial need.
Applicants are required to have nominated St Hilda's College as their college of first preference at the time of application.
Funds are provided annually by The Isabel and John Gilbertson Charitable Trust.
A written application is required.",1-Aug-20,25-Nov-20
1665477651-546,https://scholarships.unimelb.edu.au/?query=!padrenullx&sort=dmetadetailNumberAwarded&start_rank=1,,Lavarack Prize for Cell and Developmental Biology,https://scholarships.unimelb.edu.au/awards/lavarack-prize-for-cell-and-developmental-biology,Lavarack Prize for Cell and Developmental Biology,"Worth approximately $350, this prize rewards the student with the highest aggregate mark across the four subjects that comprise the Cell and Developmental Biology major.",No application is required. You will be automatically considered for this award.,"Single payment

        Full benefit details"
1665477654-547,https://scholarships.unimelb.edu.au/?query=!padrenullx&sort=dmetadetailNumberAwarded&start_rank=1,,Edward and Penelope Billson Prize in Architecture,https://scholarships.unimelb.edu.au/awards/edward-and-penelope-billson-prize-in-architecture,Edward and Penelope Billson Prize in Architecture,"This prize is awarded for work which displays the most promise in architectural design, particularly in regard to aesthetic content, in the Master of Architecture final year design studio subjects",No application is required. You will be automatically considered for this award.,"Single payment

        Full benefit details"
1665477657-548,https://scholarships.unimelb.edu.au/?query=!padrenullx&sort=dmetadetailNumberAwarded&start_rank=1,,Manuel Gelman Award for Teaching Excellence (Music),https://scholarships.unimelb.edu.au/awards/manuel-gelman-award-for-teaching-excellence-music,Manuel Gelman Award for Teaching Excellence (Music),"This award recognises a student in the Master of Teaching (Secondary) who excels in teaching music and takes into account the attainments of the candidate as a teacher, academic achievements in the Music Learning Area and financial need. This award was established in honour of Manuel Gelman, who was the former head of the department of languages in the former Melbourne College of Advanced Education and President of the Australian Federation of Modern Language Teachers’ Associations.  Manual Gelman lectured regularly in the faculties of Education and Music at the University and his contributions as teacher and teacher-educator won acclaim in Australia and from the Government of France.",No application is required. You will be automatically considered for this award.,"Single payment

        Full benefit details"
1665477660-549,https://scholarships.unimelb.edu.au/?query=!padrenullx&sort=dmetadetailNumberAwarded&start_rank=1,,Archbishop Mannix Travelling Scholarship at Newman College,https://scholarships.unimelb.edu.au/awards/archbishop-mannix-travelling-scholarship-at-newman-college,Archbishop Mannix Travelling Scholarship at Newman College,"This scholarship, worth between $100,000 and $150,000, supports Catholic postgraduate students to study overseas, before pursuing an academic career in Australia.",1-Sep-20,30-Nov-20
1665477664-550,https://scholarships.unimelb.edu.au/?query=!padrenullx&sort=dmetadetailNumberAwarded&start_rank=1,,The Andrew J Nash First in Family Scholarship,https://scholarships.unimelb.edu.au/awards/the-andrew-j-nash-first-in-family-scholarship,The Andrew J Nash First in Family Scholarship,"Thanks to the generosity of Andrew J Nash, the scholarship is available to a Bachelor of Commerce student who will be the first in their family to attend university and who qualify under the Access Melbourne Scheme.

The next scholarship will be awarded in 2025.",Applications are currently closed,"Application required
            
How to apply"
1665477666-551,https://scholarships.unimelb.edu.au/?query=!padrenullx&sort=dmetadetailNumberAwarded&start_rank=1,,A G M Michell Prize in Mechanical Engineering,https://scholarships.unimelb.edu.au/awards/a-g-m-michell-prize-in-mechanical-engineering,A G M Michell Prize in Mechanical Engineering,"This scholarship is an undergraduate award for best essay, thesis, report or design on a subject relating to mechanical engineering.",No application is required. You will be automatically considered for this award.,"Single payment

        Full benefit details"
1665477671-552,https://scholarships.unimelb.edu.au/?query=!padrenullx&sort=dmetadetailNumberAwarded&start_rank=1,,Amy Gaye Cowper Tennent Memorial PhD Scholarship,https://scholarships.unimelb.edu.au/awards/amy-gaye-cowper-tennent-memorial-phd-scholarship,Amy Gaye Cowper Tennent Memorial PhD Scholarship,"Worth $35,000 per annum, the Amy Gaye Cowper Tennent Memorial PhD Scholarship will support a commencing English Literature student for the duration of their PhD candidature.",Applications are currently closed,"Application required
            
How to apply"
1665477675-553,https://scholarships.unimelb.edu.au/?query=!padrenullx&sort=dmetadetailNumberAwarded&start_rank=1,,Catherin Bull Scholarship in Landscape Architecture,https://scholarships.unimelb.edu.au/awards/catherin-bull-scholarship-in-landscape-architecture,Catherin Bull Scholarship in Landscape Architecture,This scholarship is awarded to high achieving students commencing the Master of Landscape Architecture program.,No application is required. You will be automatically considered for this award.,"Single payment

        Full benefit details"
1665477679-554,https://scholarships.unimelb.edu.au/?query=!padrenullx&sort=dmetadetailNumberAwarded&start_rank=1,,St Hilda's College St Hilda's College Sports Scholarship,https://scholarships.unimelb.edu.au/awards/st-hildas-college-st-hildas-college-sports-scholarship,St Hilda's College St Hilda's College Sports Scholarship,"This scholarship is awarded to a rural or regional Australian applicant who has nominated St Hilda's College as their first college of preference at the time of application.
A written application is required demonstrating their suitability for the scholarship and demonstrating financial need.",1-Aug-20,25-Nov-20
1665477681-555,https://scholarships.unimelb.edu.au/?query=!padrenullx&sort=dmetadetailNumberAwarded&start_rank=1,,McGregor Family Fund Scholarship at University College,https://scholarships.unimelb.edu.au/awards/mcgregor-family-fund-scholarship-at-university-college2,McGregor Family Fund Scholarship at University College,This scholarship is awarded to continuing regional students residing at University College and with financial need.,19-Aug-19,31-Jan-20
1665477684-556,https://scholarships.unimelb.edu.au/?query=!padrenullx&sort=dmetadetailNumberAwarded&start_rank=1,,McGregor Family Fund Scholarship at University College (continuing graduate),https://scholarships.unimelb.edu.au/awards/mcgregor-family-fund-scholarship-at-university-college3,McGregor Family Fund Scholarship at University College (continuing graduate),This scholarship is awarded to continuing regional graduate students residing at University College and with financial need.,19-Aug-19,31-Jan-20
1665477687-557,https://scholarships.unimelb.edu.au/?query=!padrenullx&sort=dmetadetailNumberAwarded&start_rank=1,,Ormond College Fairley Foundation Financial Assistance Program,https://scholarships.unimelb.edu.au/awards/ormond-college-fairley-foundation-financial-assistance-program,Ormond College Fairley Foundation Financial Assistance Program,This scholarship is awarded to an Australian Citizen who is a student from the Greater Shepparton area.,1-Jul-21,30-Nov-21
1665477689-558,https://scholarships.unimelb.edu.au/?query=!padrenullx&sort=dmetadetailNumberAwarded&start_rank=1,,Agnes Robertson Undergraduate Entry Scholarship for Painting or Piano,https://scholarships.unimelb.edu.au/awards/agnes-robertson-undergraduate-entry-scholarship-for-dance,Agnes Robertson Undergraduate Entry Scholarship for Painting or Piano,"The Agnes Robertson Undergraduate Entry Scholarship for Painting or Piano are triennial fee remission scholarships offered to assist an incoming talented first year student in the discipline of BMus (piano, Jazz & Improvisation) or BFA (painting).  The scholarship will be applied to the recipient's fees for each year of their undergraduate candidacy.  It is next expected to become available for awarding in 2021.",8-Feb-21,15-Mar-21
1665477692-559,https://scholarships.unimelb.edu.au/?query=!padrenullx&sort=dmetadetailNumberAwarded&start_rank=1,,Human Factors in Cyber Security PhD Scholarship,https://scholarships.unimelb.edu.au/awards/human-factors-in-cyber-security-phd-scholarship,Human Factors in Cyber Security PhD Scholarship,Applications are invited for a PhD scholarship in the area of Human Factors in Cyber Security. The student will be supervised by Professor Monica Whitty at The University of Melbourne.,Applications are currently closed,"Application required
            
How to apply"
1665477694-560,https://scholarships.unimelb.edu.au/?query=!padrenullx&sort=dmetadetailNumberAwarded&start_rank=1,,Keith and Elisabeth Murdoch Travelling Fellowship (Theatre),https://scholarships.unimelb.edu.au/awards/keith-and-elisabeth-murdoch-travelling-fellowship-theatre,Keith and Elisabeth Murdoch Travelling Fellowship (Theatre),This scholarship is to help graduates in Drama/Theatre to travel abroad and enjoy a measure of financial support during the early years of their careers. This scholarship is open for award biennially (in odd years).,15-Mar-21,19-Apr-21
1665477698-561,https://scholarships.unimelb.edu.au/?query=!padrenullx&sort=dmetadetailNumberAwarded&start_rank=1,,Seavic Lodge No.8 Scholarship at University College,https://scholarships.unimelb.edu.au/awards/seavic-lodge-no.8-scholarship-at-university-college,Seavic Lodge No.8 Scholarship at University College,"This scholarship is awarded to continuing regional Victorian students, preferably of South-East Asian descent, residing at University College and with financial need.",19-Aug-19,31-Jan-20
1665477701-562,https://scholarships.unimelb.edu.au/?query=!padrenullx&sort=dmetadetailNumberAwarded&start_rank=1,,McGregor Family Fund Scholarship at University College (commencing undergraduate),https://scholarships.unimelb.edu.au/awards/mcgregor-family-fund-scholarship-at-university-college,McGregor Family Fund Scholarship at University College (commencing undergraduate),This scholarship is awarded to commencing undergraduate regional students residing at University College and with financial need.,19-Aug-19,31-Jan-20
1665477704-563,https://scholarships.unimelb.edu.au/?query=!padrenullx&sort=dmetadetailNumberAwarded&start_rank=1,,John and Allan Gilmour Research Award (Medicine),https://scholarships.unimelb.edu.au/awards/john-and-allan-gilmour-research-award-medicine,John and Allan Gilmour Research Award (Medicine),"This scholarship, valued up to $6,000, is for students undertaking a graduate research degree in medical or scientific fields.",No application is required. You will be automatically considered for this award.,"Annual payment

        Full benefit details"
1665477708-564,https://scholarships.unimelb.edu.au/?query=!padrenullx&sort=dmetadetailNumberAwarded&start_rank=1,,The O'Rourke Family First in Family Scholarship,https://scholarships.unimelb.edu.au/awards/the-orourke-family-first-in-family-scholarship,The O'Rourke Family First in Family Scholarship,"The O'Rourke Family First in the Family Scholarships are awarded to commencing Bachelor of Commerce students who will be the first in their family to attend university and who qualify for Access Melbourne.

The next Scholarship will be awarded in 2024.",Applications are currently closed,"Application required
            
How to apply"
1665477710-565,https://scholarships.unimelb.edu.au/?query=!padrenullx&sort=dmetadetailNumberAwarded&start_rank=1,,Terry Murphy QC and Margaret Lodge Scholarship,https://scholarships.unimelb.edu.au/awards/terry-murphy-qc-and-margaret-lodge-scholarship,Terry Murphy QC and Margaret Lodge Scholarship,"Open to students about to commence the Melbourne JD, this scholarship is awarded on the basis of both academic merit and financial need.",No application is required. You will be automatically considered for this award.,"Annual payment

        Full benefit details"
1665477713-566,https://scholarships.unimelb.edu.au/?query=!padrenullx&sort=dmetadetailNumberAwarded&start_rank=1,,Grimwade and ACMI Time-based Media Conservation Fellowship,https://scholarships.unimelb.edu.au/awards/grimwade-time-based-media-conservation-fellowship,Grimwade and ACMI Time-based Media Conservation Fellowship,"The Grimwade & ACMI Time-based Media Conservation Fellowship offers an opportunity for a recent graduate specialising in time-based media and audio-visual heritage. 
The Fellowship will involve a research project that will be developed by the recipient in consultation with ACMI’s Time-based Media Conservator and the Grimwade Centre. Based within ACMI’s Media Preservation Lab, the recipient will develop specialist knowledge, strong skills and industry facing networks. For more information please see the Fellowship description.",Applications are currently closed,"Application required
            
How to apply"
1665477716-567,https://scholarships.unimelb.edu.au/?query=!padrenullx&sort=dmetadetailNumberAwarded&start_rank=1,,ACEL Excellence in Instructional Leadership Award,https://scholarships.unimelb.edu.au/awards/acel-excellence-in-instructional-leadership-award,ACEL Excellence in Instructional Leadership Award,"This award, supported by the Australian Council for Educational Leaders (ACEL), recognises academic excellence in educational leadership.",No application is required. You will be automatically considered for this award.,"General allowance

        Full benefit details"
1665477719-568,https://scholarships.unimelb.edu.au/?query=!padrenullx&sort=dmetadetailNumberAwarded&start_rank=1,,St Hilda's College New Zealand undergraduate Scholarship,https://scholarships.unimelb.edu.au/awards/st-hildas-college-new-zealand-undergraduate-scholarship,St Hilda's College New Zealand undergraduate Scholarship,"This scholarship is offered to Students of New Zealand schools commencing undergraduate studies at the University of Melbourne or Monash University's Parkville Campus studying (Pharmacy).
Applicants are required to have nominated St Hilda's College as their college of first preference.
The scholarship will be awarded on the basis of academic results",No application is required. You will be automatically considered for this award.,"College fee remission

        Full benefit details"
1665477722-569,https://scholarships.unimelb.edu.au/?query=!padrenullx&sort=dmetadetailNumberAwarded&start_rank=1,,Orloff Family Charitable Trust Award- Dance,https://scholarships.unimelb.edu.au/awards/orloff-family-charitable-trust-scholarship-dance,Orloff Family Charitable Trust Award- Dance,This award is for third-year Bachelor of Fine Arts (Dance) students demonstrating the most  outstanding talent.,No application is required. You will be automatically considered for this award.,"Single payment

        Full benefit details"
1665477725-570,https://scholarships.unimelb.edu.au/?query=!padrenullx&sort=dmetadetailNumberAwarded&start_rank=1,,Scott Sharpe Award for Arboricultural Excellence,https://scholarships.unimelb.edu.au/awards/scott-sharpe-award-for-arboricultural-excellence,Scott Sharpe Award for Arboricultural Excellence,This scholarship will be awarded to a Graduate Certificate in Arboriculture student who qualifies for graduation in any given year and achieves the best overall mark of any student in the graduating cohort of that year.,No application is required. You will be automatically considered for this award.,"Single payment

        Full benefit details"
1665477727-571,https://scholarships.unimelb.edu.au/?query=!padrenullx&sort=dmetadetailNumberAwarded&start_rank=1,,Keith and Elisabeth Murdoch Travelling Fellowship (Music),https://scholarships.unimelb.edu.au/awards/keith-and-elisabeth-murdoch-travelling-fellowship-music,Keith and Elisabeth Murdoch Travelling Fellowship (Music),This scholarship is to help Music graduates from the Victorian College of the Arts to travel abroad and enjoy a measure of financial support during the early years of their careers. This scholarship is open for award biennially (in odd years).,15-Mar-21,19-Apr-21
1665477732-572,https://scholarships.unimelb.edu.au/?query=!padrenullx&sort=dmetadetailNumberAwarded&start_rank=1,,St Hilda's College Elizabeth Dax Indigenous Scholarship,https://scholarships.unimelb.edu.au/awards/st-hildas-college-elizabeth-dax-indigenous-scholarship,St Hilda's College Elizabeth Dax Indigenous Scholarship,"This scholarship is offered to an undergraduate Australian Indigenous Student, who could not otherwise afford to attend St Hilda's College.
The scholarship is open to students who are enrolled at the University of Melbourne in bio-medical science, or alternative undergraduate course as agreed by the donor.",1-Aug-20,25-Nov-20
1665477737-573,https://scholarships.unimelb.edu.au/?query=!padrenullx&sort=dmetadetailNumberAwarded&start_rank=1,,Nell Norris Fellowship for a PhD in Architecture,https://scholarships.unimelb.edu.au/awards/nell-norris-fellowship-for-a-phd-in-architecture,Nell Norris Fellowship for a PhD in Architecture,"In 1955 architect Eleanor Edna Norris bequeathed funds to the University to establish a fellowship for the study of architecture and architectural research. The resulting PhD scholarship is available for award to a postgraduate research applicant engaged in the study of architecture at the University of Melbourne.

The scholarship will be awarded to the eligible candidate whose submission demonstrates the most outstanding academic record along with a compelling and innovative proposal.",24-Jun-19,31-Aug-19
1665477741-574,https://scholarships.unimelb.edu.au/?query=!padrenullx&sort=dmetadetailNumberAwarded&start_rank=1,,Mathematical Association of Victoria Secondary Award,https://scholarships.unimelb.edu.au/awards/mathematical-association-of-victoria-secondaryaward,Mathematical Association of Victoria Secondary Award,Awarded to the student in the Master of Teaching (Secondary) who has achieved the highest aggregate marks in the mathematics learning area.,No application is required. You will be automatically considered for this award.,"General allowance

        Full benefit details"
1665477744-575,https://scholarships.unimelb.edu.au/?query=!padrenullx&sort=dmetadetailNumberAwarded&start_rank=1,,Frank and Valarie Larkins Scholarship at International House,https://scholarships.unimelb.edu.au/awards/frank-and-valarie-larkins-scholarship-at-international-house,Frank and Valarie Larkins Scholarship at International House,"Live at International House residential college while studying at the University of Melbourne. 

This scholarship provides college fee remission of ~$7000 at International House.

The scholarship is named in honour of Frank and Valarie Larkins who have been linked to the House since 1962.",1-Aug-21,18-Jan-22
1665477748-576,https://scholarships.unimelb.edu.au/?query=!padrenullx&sort=dmetadetailNumberAwarded&start_rank=1,,Melbourne Campus Fair Jewish Women's Scholarship,https://scholarships.unimelb.edu.au/awards/melbourne-campus-fair-jewish-womens-scholarship,Melbourne Campus Fair Jewish Women's Scholarship,This scholarship was established with a donation from Sophie Davis and the Campus Fair Committee and is offered to students in financial need and in their final year of study.,No application is required. You will be automatically considered for this award.,"Single payment

        Full benefit details"
1665477750-577,https://scholarships.unimelb.edu.au/?query=!padrenullx&sort=dmetadetailNumberAwarded&start_rank=1,,Anonymous Singapore First in Family Scholarship,https://scholarships.unimelb.edu.au/awards/anonymous-singapore-first-in-family-scholarship,Anonymous Singapore First in Family Scholarship,"The Anonymous Singapore First in the Family Scholarships are awarded to commencing Bachelor of Commerce students who will be the first in their family to attend university and who qualify under the Access Melbourne Scheme.

The next scholarship will be awarded in 2023.",Applications are currently closed,"Application required
            
How to apply"
1665477753-578,https://scholarships.unimelb.edu.au/?query=!padrenullx&sort=dmetadetailNumberAwarded&start_rank=1,,William and Edith Taylor Indigenous Scholarship,https://scholarships.unimelb.edu.au/awards/william-and-edith-taylor-indigenous-scholarship,William and Edith Taylor Indigenous Scholarship,"This scholarship was established in 2020 with a donation from Dorothy Karpin in honour of her late parents, William and Edith Taylor. The scholarship is offered to Indigenous undergraduate students who are experiencing disadvantaged circumstances.",Applications are currently closed,"Application required
            
How to apply"
1665477756-579,https://scholarships.unimelb.edu.au/?query=!padrenullx&sort=dmetadetailNumberAwarded&start_rank=1,,Betty Fulton Fund Scholarship at University College,https://scholarships.unimelb.edu.au/awards/betty-fulton-fund-scholarship-at-university-college,Betty Fulton Fund Scholarship at University College,This scholarship is awarded to students residing at University College who are from the Hepburn Shire region of Victoria and with financial need.,19-Aug-19,31-Jan-20
1665477759-580,https://scholarships.unimelb.edu.au/?query=!padrenullx&sort=dmetadetailNumberAwarded&start_rank=1,,J A Aird Memorial Prize in Public Policy,https://scholarships.unimelb.edu.au/awards/j-a-aird-memorial-prize-in-public-policy,J A Aird Memorial Prize in Public Policy,One annual award to the highest achieving Bachelor of Arts student in the subject Public Policy Making.,No application is required. You will be automatically considered for this award.,"Single payment

        Full benefit details"
1665477761-581,https://scholarships.unimelb.edu.au/?query=!padrenullx&sort=dmetadetailNumberAwarded&start_rank=1,,Keith and Elisabeth Murdoch Travelling Fellowship (Art),https://scholarships.unimelb.edu.au/awards/keith-and-elisabeth-murdoch-travelling-fellowship-art,Keith and Elisabeth Murdoch Travelling Fellowship (Art),"This scholarship, worth at least $25,000, supports domestic art alumni in overseas travel during the early years of their professional careers. This scholarship is open for award biennially (in odd years).",1-Jun-21,18-Jul-21
1665477765-582,https://scholarships.unimelb.edu.au/?query=!padrenullx&sort=dmetadetailNumberAwarded&start_rank=1,,Ormond College John Leaper Scholarship,https://scholarships.unimelb.edu.au/awards/ormond-college-john-leaper-first-in-family-scholarship,Ormond College John Leaper Scholarship,This scholarship is awarded to a student on the basis of financial need and is the first in their family to come to Ormond College,1-Jul-21,30-Nov-21
1665477768-583,https://scholarships.unimelb.edu.au/?query=!padrenullx&sort=dmetadetailNumberAwarded&start_rank=1,,Dr Rodney Lloyd Benjamin OAM History Prize,https://scholarships.unimelb.edu.au/awards/dr-rodney-lloyd-benjamin-oam-history-prize,Dr Rodney Lloyd Benjamin OAM History Prize,One annual award for an essay that focuses on aspects of the history of the state of Victoria by a graduate student.,No application is required. You will be automatically considered for this award.,"Single payment

        Full benefit details"
1665477771-584,https://scholarships.unimelb.edu.au/?query=!padrenullx&sort=dmetadetailNumberAwarded&start_rank=1,,Resilient Melbourne in Action PhD Scholarship,https://scholarships.unimelb.edu.au/awards/resilient-melbourne-in-action-phd-scholarship,Resilient Melbourne in Action PhD Scholarship,"This scholarship provides a stipend worth $30,000 a year to a domestic research student enrolled in a PhD associated with the 100 Resilient Cities initiative. Pioneered by the Rockefeller Foundation, this initiative is aimed at achieving a shift in the way cities around the world are managed, enabling them to be better prepared for chronic stresses and acute shocks. The PhD will be partly embedded with the Resilient Melbourne Delivery Office, providing insight and experience in local government urban governance experimentation. The scholarship is co-sponsored by the Australian Government Research Training Program Scholarship and the Faculty of Architecture, Building and Planning.",Applications are currently closed,"Application required
            
How to apply"
1665477773-585,https://scholarships.unimelb.edu.au/?query=!padrenullx&sort=dmetadetailNumberAwarded&start_rank=1,,Faculty of Arts Exchange Enabling Scholarships,https://scholarships.unimelb.edu.au/awards/faculty-of-arts-exchange-enabling-scholarship,Faculty of Arts Exchange Enabling Scholarships,"These scholarships, worth up to $5,000, provide funding to students in the Faculty who might not be able to consider an overseas experience because of financial constraints or those who could benefit from additional financial support to enhance their experience.",Applications are currently closed,"Application required
            
How to apply"
1665477777-586,https://scholarships.unimelb.edu.au/?query=!padrenullx&sort=dmetadetailNumberAwarded&start_rank=1,,Irene Rogers (Lowe) Scholarship for Agriculture,https://scholarships.unimelb.edu.au/awards/irene-rogers-lowe-scholarship-for-agriculture,Irene Rogers (Lowe) Scholarship for Agriculture,"Awarded to support women undertaking studies in agriculture.

The Irene Rogers (Lowe) Scholarship for Agriculture was established in 2013 by Mr Bill Rogers AO to commemorate his mother Irene Rogers (née Lowe, 1895-1983), who was the first female student in the Bachelor of Agricultural Sciences and the first female student at Dookie.

If you are a female student commencing a Master of Agricultural Sciences, and can demonstrate academic achievement, this scholarship could assist you financially with study and living expenses.",No application is required. You will be automatically considered for this award.,"Single payment

        Full benefit details"
1665477779-587,https://scholarships.unimelb.edu.au/?query=!padrenullx&sort=dmetadetailNumberAwarded&start_rank=1,,St Hilda's College Oliver Miller Faculty Scholarship,https://scholarships.unimelb.edu.au/awards/st-hildas-college-oliver-miller-faculty-scholarship,St Hilda's College Oliver Miller Faculty Scholarship,"This scholarship is offered to new students commencing study in Biomedical Science with the intention of undertaking postgraduate studies in Medicine, Veterinary Science, Dentistry or Physiotherapy.
Half College fee for the duration of the recipient's undergraduate course subject to satisfactory progress each academic year and ongoing residency at St Hilda's College.
Applicants are required to have nominated St Hilda's College as their college of first preference at the time of application.
A written application is required.",1-Aug-20,25-Nov-20
1665477781-588,https://scholarships.unimelb.edu.au/?query=!padrenullx&sort=dmetadetailNumberAwarded&start_rank=1,,Stewardson Walpole Scholarship at University College,https://scholarships.unimelb.edu.au/awards/stewardson-walpole-scholarship-at-university-college,Stewardson Walpole Scholarship at University College,This scholarship is awarded to continuing domestic students residing at University College and with financial need.,19-Aug-19,31-Jan-20
1665477784-589,https://scholarships.unimelb.edu.au/?query=!padrenullx&sort=dmetadetailNumberAwarded&start_rank=1,,Ohman/Sutton Veterinary Science/Medicine Scholarship at Queen's College,https://scholarships.unimelb.edu.au/awards/the-ohmansutton-veterinary-sciencemedicine-scholarship,Ohman/Sutton Veterinary Science/Medicine Scholarship at Queen's College,"This scholarship, worth approximately $5940 in college fee remission at Queen's College, supports a Graduate Veterinary Science student or a Graduate Medical student. It is made available by the estate of Dr Sigurd Ohman in memory of himself and his sister Elsie Sutton.",21-Aug-19,30-Nov-19
1665477787-590,https://scholarships.unimelb.edu.au/?query=!padrenullx&sort=dmetadetailNumberAwarded&start_rank=1,,Sir Samuel Wadham Rural Students Scholarship,https://scholarships.unimelb.edu.au/awards/sir-samuel-wadham-rural-students-scholarship,Sir Samuel Wadham Rural Students Scholarship,"This scholarship was established in 2010 with a donation from anonymous donor, and awarded to undergraduate students from regional and remote areas who are experiencing disadvantaged circumstances.",No application is required. You will be automatically considered for this award.,"Bi-annual payment

        Full benefit details"
1665477791-591,https://scholarships.unimelb.edu.au/?query=!padrenullx&sort=dmetadetailNumberAwarded&start_rank=1,,The Yiaga Ngarnga Scholarship for Infection and Immunity,https://scholarships.unimelb.edu.au/awards/yiaga-ngarnga-scholarship-for-infection-and-immunity,The Yiaga Ngarnga Scholarship for Infection and Immunity,"The Yiaga Ngarnga Scholarship (for Infection and Immunity) was launched following a generous donation from the Lionel Gell Foundation to the Doherty Institute and with support from the Faculty of Medicine, Dentistry and Health Sciences at the University of Melbourne. The scholarship supports graduate research for an Indigenous Australian with demonstrated excellence in the area of Immunology or Infectious Diseases research in 
 the Peter Doherty Institute for Infection and Immunity (Doherty Institute).",21-Jul-21,24-Sep-21
1665477794-592,https://scholarships.unimelb.edu.au/?query=!padrenullx&sort=dmetadetailNumberAwarded&start_rank=1,,National Gallery of Victoria Art History Prize,https://scholarships.unimelb.edu.au/awards/national-gallery-of-victoria-art-history-prize,National Gallery of Victoria Art History Prize,One annual award to the highest ranked 3rd year Art History student who continues onto the honours Art History program or the Master of Art Curatorship.,No application is required. You will be automatically considered for this award.,"Single payment

        Full benefit details"
1665477799-593,https://scholarships.unimelb.edu.au/?query=!padrenullx&sort=dmetadetailNumberAwarded&start_rank=1,,Melbourne Writers Festival Creative Writing Prize,https://scholarships.unimelb.edu.au/awards/melbourne-writers-festival-creative-writing-prize,Melbourne Writers Festival Creative Writing Prize,"One annual award to the highest ranked 3rd year Creative Writing student who continues onto honours in Creative Writing or the Master of Creative Writing, Publishing and Editing.",No application is required. You will be automatically considered for this award.,"Single payment

        Full benefit details"
1665477801-594,https://scholarships.unimelb.edu.au/?query=!padrenullx&sort=dmetadetailNumberAwarded&start_rank=1,,Leslie Eric Paddle Scholarship in Neurology,https://scholarships.unimelb.edu.au/awards/the-leslie-eric-paddle-scholarship-in-neurology,Leslie Eric Paddle Scholarship in Neurology,"Established by the late Leslie Eric Paddle, this scholarship, worth up to approximately $10,851 is open to an individual or group of students conducting and performing research in the field of neurology.",No application is required. You will be automatically considered for this award.,"Annual payment

        Full benefit details"
