web-scraper-order,web-scraper-start-url,links,links-href,title,description ,application status 
1665919193-11,https://www.monash.edu/study/fees-scholarships/scholarships/find-a-scholarship?student=1,"Vin and Rosemary Massaro Family Scholarship

				
			
		
			
The Vin and Rosemary Massaro Family Scholarship as generously supported by Dr Vin and Mrs Rosemary…			
            
            
	    
        
            
                    Applications:  1 Aug - 7 Oct 2022
                    Total scholarship value: Up to $42,000
                    Number offered:  One per year",https://mon4-search.squiz.cloud/s/redirect?collection=scholarships-web&url=https%3A%2F%2Fwww.monash.edu%2Fstudy%2Ffees-scholarships%2Fscholarships%2Ffind-a-scholarship%2Fvin-and-rosemary-massaro-family-scholarship-6171%3Fdomestic%3Dtrue&index_url=https%3A%2F%2Fwww.monash.edu%2Fstudy%2Ffees-scholarships%2Fscholarships%2Ffind-a-scholarship%2Fvin-and-rosemary-massaro-family-scholarship-6171%3FSQ_DESIGN_NAME%3Dblank%26SQ_PAINT_LAYOUT_NAME%3Dscholarships-funnelback-index&auth=kEtMQ1FarThRrabkogncHQ&profile=_default&rank=215&query=%21padrenull,Vin and Rosemary Massaro Family Scholarship,"The Vin and Rosemary Massaro Family Scholarship as generously supported by Dr Vin and Mrs Rosemary Massaro be introduced to encourage and support low SES students from remote and rural communities, with a preference for students from the Latrobe Valley and wider Gippsland area, to access a tertiary education at Monash University.",1 Aug - 7 Oct 2022
1665919196-12,https://www.monash.edu/study/fees-scholarships/scholarships/find-a-scholarship?student=1,"Vice-Chancellor's Scholarship for Achievement

				
			
		
			
The Vice-Chancellor’s Scholarship for Achievement is for students eligible for the Monash…			
            
            
	    
        
            
                    Applications:  5 August - 11 October 2019
                    Total scholarship value: Up to $4000
                    Number offered:  Varies (Depending on funding)",https://mon4-search.squiz.cloud/s/redirect?collection=scholarships-web&url=https%3A%2F%2Fwww.monash.edu%2Fstudy%2Ffees-scholarships%2Fscholarships%2Ffind-a-scholarship%2Fvice-chancellors-scholarship-for-achievement-5748A%3Fdomestic%3Dtrue&index_url=https%3A%2F%2Fwww.monash.edu%2Fstudy%2Ffees-scholarships%2Fscholarships%2Ffind-a-scholarship%2Fvice-chancellors-scholarship-for-achievement-5748A%3FSQ_DESIGN_NAME%3Dblank%26SQ_PAINT_LAYOUT_NAME%3Dscholarships-funnelback-index&auth=B71zdayZ2DsfxC8KbOKBBA&profile=_default&rank=214&query=%21padrenull,Vice-Chancellor's Scholarship for Achievement,The Vice-Chancellor’s Scholarship for Achievement is for students eligible for the Monash Guarantee. Recipients will receive $2000 in the first year of study and a potential $500 for subsequent years.,5 August - 11 October 2019
1665919201-13,https://www.monash.edu/study/fees-scholarships/scholarships/find-a-scholarship?student=1,"Vice-Chancellor's Ensemble Leadership Scholarship

				
			
		
			
A scholarship for current students in the Sir Zelman Cowen School of Music and Performance at…			
            
            
	    
        
            
                    Applications:  No application required
                    Total scholarship value: $6000 for one year only
                    Number offered:  One per year",https://mon4-search.squiz.cloud/s/redirect?collection=scholarships-web&url=https%3A%2F%2Fwww.monash.edu%2Fstudy%2Ffees-scholarships%2Fscholarships%2Ffind-a-scholarship%2Fvice-chancellors-ensemble-leadership-scholarship-5593%3Fdomestic%3Dtrue&index_url=https%3A%2F%2Fwww.monash.edu%2Fstudy%2Ffees-scholarships%2Fscholarships%2Ffind-a-scholarship%2Fvice-chancellors-ensemble-leadership-scholarship-5593%3FSQ_DESIGN_NAME%3Dblank%26SQ_PAINT_LAYOUT_NAME%3Dscholarships-funnelback-index&auth=SZMqAwruYB%2BmN6SRWfzd6Q&profile=_default&rank=213&query=%21padrenull,Vice-Chancellor's Ensemble Leadership Scholarship,"A scholarship for current students in the Sir Zelman Cowen School of Music and Performance at Monash intending to pursue an honours year. If you are an outstanding music student at Monash participating in an ensemble, you may be eligible for this scholarship and receive $6000 to assist you in your studies. No application is necessary. Eligible students will be invited for an audition or interview.",No application required
1665919208-14,https://www.monash.edu/study/fees-scholarships/scholarships/find-a-scholarship?student=1,"Vice-Chancellor's Concertmaster Scholarship

				
			
		
			
This scholarship is available to students majoring in classical violin performance studies and…			
            
            
	    
        
            
                    Total scholarship value: $6000
                    Number offered:  One per year",https://mon4-search.squiz.cloud/s/redirect?collection=scholarships-web&url=https%3A%2F%2Fwww.monash.edu%2Fstudy%2Ffees-scholarships%2Fscholarships%2Ffind-a-scholarship%2Fvice-chancellors-concertmaster-scholarship-5592%3Fdomestic%3Dtrue&index_url=https%3A%2F%2Fwww.monash.edu%2Fstudy%2Ffees-scholarships%2Fscholarships%2Ffind-a-scholarship%2Fvice-chancellors-concertmaster-scholarship-5592%3FSQ_DESIGN_NAME%3Dblank%26SQ_PAINT_LAYOUT_NAME%3Dscholarships-funnelback-index&auth=yYcME2wlTQBhpbf6JgOoOw&profile=_default&rank=212&query=%21padrenull,Vice-Chancellor's Concertmaster Scholarship,This scholarship is available to students majoring in classical violin performance studies and participating in the Monash Academy Orchestra.,"$6,000"
1665919217-15,https://www.monash.edu/study/fees-scholarships/scholarships/find-a-scholarship?student=1,"Ventia Scholarship for Women in Engineering

				
			
		
			
This scholarship is to assist talented and deserving female students to access tertiary education…			
            
            
	    
        
            
                    Applications:  See how to apply
                    Total scholarship value: up to $30,000
                    Number offered:  Two per year",https://mon4-search.squiz.cloud/s/redirect?collection=scholarships-web&url=https%3A%2F%2Fwww.monash.edu%2Fstudy%2Ffees-scholarships%2Fscholarships%2Ffind-a-scholarship%2Fventia-scholarship-for-women-in-engineering-6165%3Fdomestic%3Dtrue&index_url=https%3A%2F%2Fwww.monash.edu%2Fstudy%2Ffees-scholarships%2Fscholarships%2Ffind-a-scholarship%2Fventia-scholarship-for-women-in-engineering-6165%3FSQ_DESIGN_NAME%3Dblank%26SQ_PAINT_LAYOUT_NAME%3Dscholarships-funnelback-index&auth=j35H1B1ltK4%2F1EWFdFmcAA&profile=_default&rank=211&query=%21padrenull,Ventia Scholarship for Women in Engineering,This scholarship is to assist talented and deserving female students to access tertiary education and to provide them with opportunities which would not otherwise have been available to them due to their personal circumstances.,See how to apply
1665919228-16,https://www.monash.edu/study/fees-scholarships/scholarships/find-a-scholarship?student=1,"Vallejo Gantner Memorial Travel Scholarship

				
			
		
			
The Vallejo Gantner Memorial Travel Grant was created in 1970 in memory of Vallejo Gantner, a…			
            
            
	    
        
            
                    Applications:  30 May - 8 July 2022
                    Total scholarship value: $3000
                    Number offered:  Two",https://mon4-search.squiz.cloud/s/redirect?collection=scholarships-web&url=https%3A%2F%2Fwww.monash.edu%2Fstudy%2Ffees-scholarships%2Fscholarships%2Ffind-a-scholarship%2Fvallejo-gantner-memorial-travel-scholarship-5652%3Fdomestic%3Dtrue&index_url=https%3A%2F%2Fwww.monash.edu%2Fstudy%2Ffees-scholarships%2Fscholarships%2Ffind-a-scholarship%2Fvallejo-gantner-memorial-travel-scholarship-5652%3FSQ_DESIGN_NAME%3Dblank%26SQ_PAINT_LAYOUT_NAME%3Dscholarships-funnelback-index&auth=U63nPQUYdR3HctwthFwQJQ&profile=_default&rank=210&query=%21padrenull,Vallejo Gantner Memorial Travel Scholarship,"The Vallejo Gantner Memorial Travel Grant was created in 1970 in memory of Vallejo Gantner, a student in the Faculty of Arts during the University's foundation year who died in 1962 as the result of an accident. The travel grant is an incentive for students who possess an inquiring spirit, by enabling  them to travel during the summer vacation period to a 'developing' country.",30 May - 8 July 2022
1665919237-17,https://www.monash.edu/study/fees-scholarships/scholarships/find-a-scholarship?student=1,"Uncle Henry and Bernadette Atkinson Indigenous Scholarship

				
			
		
			
Uncle Henry Atkinson is a Wollithiga man. His traditional country is Echuca Victoria. His first…			
            
            
	    
        
            
                    Applications:  No application required
                    Number offered:  One",https://mon4-search.squiz.cloud/s/redirect?collection=scholarships-web&url=https%3A%2F%2Fwww.monash.edu%2Fstudy%2Ffees-scholarships%2Fscholarships%2Ffind-a-scholarship%2Funcle-henry-and-bernadette-atkinson-indigenous-scholarship-6185%3Fdomestic%3Dtrue&index_url=https%3A%2F%2Fwww.monash.edu%2Fstudy%2Ffees-scholarships%2Fscholarships%2Ffind-a-scholarship%2Funcle-henry-and-bernadette-atkinson-indigenous-scholarship-6185%3FSQ_DESIGN_NAME%3Dblank%26SQ_PAINT_LAYOUT_NAME%3Dscholarships-funnelback-index&auth=q3aK7mlrP9P3UulGmOtHQw&profile=_default&rank=209&query=%21padrenull,Uncle Henry and Bernadette Atkinson Indigenous Scholarship,"Uncle Henry Atkinson is a Wollithiga man. His traditional country is Echuca Victoria. His first experience at school was one of a segregated education, where Aboriginal students were not allowed to be taught in the same classroom as non-Aboriginal students. Growing into a young man and leaving segregated schooling behind, he followed his father’s advice and became employed, and being involved with the Echuca community by playing football for Echuca and Echuca South, basketball and joining the Country Fire Brigade.",No application required
1665919242-18,https://www.monash.edu/study/fees-scholarships/scholarships/find-a-scholarship?student=1,"Transurban Industry Leaders Scholarship

				
			
		
			
This Scholarship is available to students who are participating in Engineering leadership…			
            
            
	    
        
            
                    Total scholarship value: up to $10,000
                    Number offered:  One per year",https://mon4-search.squiz.cloud/s/redirect?collection=scholarships-web&url=https%3A%2F%2Fwww.monash.edu%2Fstudy%2Ffees-scholarships%2Fscholarships%2Ffind-a-scholarship%2Ftransurban-industry-leaders-scholarship-6177%3Fdomestic%3Dtrue&index_url=https%3A%2F%2Fwww.monash.edu%2Fstudy%2Ffees-scholarships%2Fscholarships%2Ffind-a-scholarship%2Ftransurban-industry-leaders-scholarship-6177%3FSQ_DESIGN_NAME%3Dblank%26SQ_PAINT_LAYOUT_NAME%3Dscholarships-funnelback-index&auth=ZZL4DdwoxTJnOJ369hKKFA&profile=_default&rank=208&query=%21padrenull,Transurban Industry Leaders Scholarship,This Scholarship is available to students who are participating in Engineering leadership activities.,"up to $10,000"
1665919249-19,https://www.monash.edu/study/fees-scholarships/scholarships/find-a-scholarship?student=1,"Tim McArdle Memorial Grant

				
			
		
			
Created in memory of West Gippsland doctor, Tim McArdle, this grant is awarded to West Gippsland…			
            
            
	    
        
            
                    Applications:  See how to apply
                    Total scholarship value: $4000
                    Number offered:  Variable (Depending on funding)",https://mon4-search.squiz.cloud/s/redirect?collection=scholarships-web&url=https%3A%2F%2Fwww.monash.edu%2Fstudy%2Ffees-scholarships%2Fscholarships%2Ffind-a-scholarship%2Ftim-mcardle-memorial-grant-5826Z%3Fdomestic%3Dtrue&index_url=https%3A%2F%2Fwww.monash.edu%2Fstudy%2Ffees-scholarships%2Fscholarships%2Ffind-a-scholarship%2Ftim-mcardle-memorial-grant-5826Z%3FSQ_DESIGN_NAME%3Dblank%26SQ_PAINT_LAYOUT_NAME%3Dscholarships-funnelback-index&auth=RVS497U1wjmGWmmdtFXNbw&profile=_default&rank=207&query=%21padrenull,Tim McArdle Memorial Grant,"Created in memory of West Gippsland doctor, Tim McArdle, this grant is awarded to West Gippsland applicants who are interested in rural health and returning to work in the local region.",See how to apply
1665919254-20,https://www.monash.edu/study/fees-scholarships/scholarships/find-a-scholarship?student=1,"Tilt Renewables Scholarship

				
			
		
			
This scholarship is awarded to students who have experienced educational disadvantage and wish to…			
            
            
	    
        
            
                    Applications:  See how to apply
                    Total scholarship value: $18,000
                    Number offered:  Two",https://mon4-search.squiz.cloud/s/redirect?collection=scholarships-web&url=https%3A%2F%2Fwww.monash.edu%2Fstudy%2Ffees-scholarships%2Fscholarships%2Ffind-a-scholarship%2Ftilt-renewables-scholarship-6127%3Fdomestic%3Dtrue&index_url=https%3A%2F%2Fwww.monash.edu%2Fstudy%2Ffees-scholarships%2Fscholarships%2Ffind-a-scholarship%2Ftilt-renewables-scholarship-6127%3FSQ_DESIGN_NAME%3Dblank%26SQ_PAINT_LAYOUT_NAME%3Dscholarships-funnelback-index&auth=8mWN%2FN9RECPoBmSl7u7BfA&profile=_default&rank=206&query=%21padrenull,Tilt Renewables Scholarship,This scholarship is awarded to students who have experienced educational disadvantage and wish to undertake a Bachelor degree in the Faculty of Engineering. This scholarship is donated by Tilt Renewables.,See how to apply
1665919259-21,https://www.monash.edu/study/fees-scholarships/scholarships/find-a-scholarship?student=1,"Thomas Shadrach James Indigenous Scholarship

				
			
		
			
The Faculty of Education is offering a Thomas Shadrach James Indigenous Scholarship for Indigenous…			
            
            
	    
        
            
                    Applications:  No application required
                    Total scholarship value: up to $79,940
                    Number offered:  One",https://mon4-search.squiz.cloud/s/redirect?collection=scholarships-web&url=https%3A%2F%2Fwww.monash.edu%2Fstudy%2Ffees-scholarships%2Fscholarships%2Ffind-a-scholarship%2Fthomas-shadrach-james-indigenous-scholarship-6183%3Fdomestic%3Dtrue&index_url=https%3A%2F%2Fwww.monash.edu%2Fstudy%2Ffees-scholarships%2Fscholarships%2Ffind-a-scholarship%2Fthomas-shadrach-james-indigenous-scholarship-6183%3FSQ_DESIGN_NAME%3Dblank%26SQ_PAINT_LAYOUT_NAME%3Dscholarships-funnelback-index&auth=hUI3efUw83StZj1xO4kzTQ&profile=_default&rank=205&query=%21padrenull,Thomas Shadrach James Indigenous Scholarship,The Faculty of Education is offering a Thomas Shadrach James Indigenous Scholarship for Indigenous students.,No application required
1665919268-22,https://www.monash.edu/study/fees-scholarships/scholarships/find-a-scholarship?student=1,"Thea Parnamae Rural Pharmacy Scholarship

				
			
		
			
The Thea Pärnamäe Rural Pharmacy Scholarship was introduced to support female students to undertake …			
            
            
	    
        
            
                    Applications:  see how to apply
                    Total scholarship value: Up to $12,000
                    Number offered:  One",https://mon4-search.squiz.cloud/s/redirect?collection=scholarships-web&url=https%3A%2F%2Fwww.monash.edu%2Fstudy%2Ffees-scholarships%2Fscholarships%2Ffind-a-scholarship%2Fthea-parnamae-rural-pharmacy-scholarship-5727%3Fdomestic%3Dtrue&index_url=https%3A%2F%2Fwww.monash.edu%2Fstudy%2Ffees-scholarships%2Fscholarships%2Ffind-a-scholarship%2Fthea-parnamae-rural-pharmacy-scholarship-5727%3FSQ_DESIGN_NAME%3Dblank%26SQ_PAINT_LAYOUT_NAME%3Dscholarships-funnelback-index&auth=v1cCNgjCfHsqg1S8%2BMhiGw&profile=_default&rank=204&query=%21padrenull,Thea Parnamae Rural Pharmacy Scholarship,The Thea Pärnamäe Rural Pharmacy Scholarship was introduced to support female students to undertake an undergraduate degree.,see how to apply
1665919274-23,https://www.monash.edu/study/fees-scholarships/scholarships/find-a-scholarship?student=1,"The Woolmark Company Prato Study Scholarship

				
			
		
			
This scholarship supports you to further your academic development through studying at our Prato…			
            
            
	    
        
            
                    Applications:  30 May - 8 July 2022
                    Total scholarship value: $5000
                    Number offered:  Two per year",https://mon4-search.squiz.cloud/s/redirect?collection=scholarships-web&url=https%3A%2F%2Fwww.monash.edu%2Fstudy%2Ffees-scholarships%2Fscholarships%2Ffind-a-scholarship%2Fthe-woolmark-company-prato-study-scholarship-6069%3Fdomestic%3Dtrue&index_url=https%3A%2F%2Fwww.monash.edu%2Fstudy%2Ffees-scholarships%2Fscholarships%2Ffind-a-scholarship%2Fthe-woolmark-company-prato-study-scholarship-6069%3FSQ_DESIGN_NAME%3Dblank%26SQ_PAINT_LAYOUT_NAME%3Dscholarships-funnelback-index&auth=RhuVqDYgNaDlYkQdt21ofw&profile=_default&rank=203&query=%21padrenull,The Woolmark Company Prato Study Scholarship,This scholarship supports you to further your academic development through studying at our Prato Centre in Italy and by undertaking an Industry Experience with Woolmark allied creative industries. The Australian Woolmark Company is a research and development institute and is involved in the commercialisation of wool technologies now recognised as a global authority on Merino wool.,30 May - 8 July 2022
